app_id,review_score,review_score_desc,total_positive,total_negative,total_reviews
21910,8,Very Positive,294,50,344
21920,0,1 user reviews,1,0,1
21950,0,1 user reviews,1,0,1
21970,8,Very Positive,787,75,862
21980,6,Mostly Positive,625,159,784
21990,0,1 user reviews,1,0,1
21995,0,5 user reviews,4,1,5
21996,7,Positive,9,2,11
22000,8,Very Positive,1573,136,1709
22100,8,Very Positive,1482,137,1619
22120,8,Very Positive,942,64,1006
22130,8,Very Positive,153,34,187
22140,5,Mixed,167,162,329
22180,8,Very Positive,1061,134,1195
22200,8,Very Positive,987,136,1123
22230,8,Very Positive,1350,113,1463
22300,6,Mostly Positive,4970,1476,6446
22310,6,Mostly Positive,334,127,461
22320,9,Overwhelmingly Positive,8513,435,8948
22330,9,Overwhelmingly Positive,14815,669,15484
22340,5,Mixed,750,424,1174
22350,5,Mixed,748,589,1337
22361,0,6 user reviews,5,1,6
22363,0,7 user reviews,7,0,7
22364,0,7 user reviews,7,0,7
22370,6,Mostly Positive,12097,3423,15520
22380,9,Overwhelmingly Positive,63997,2416,66413
22400,7,Positive,31,5,36
22410,8,Very Positive,54,13,67
22420,7,Positive,24,3,27
22430,6,Mostly Positive,24,10,34
22440,7,Positive,28,6,34
22450,5,Mixed,261,114,375
22470,8,Very Positive,279,45,324
22490,6,Mostly Positive,618,261,879
22500,8,Very Positive,96,15,111
22510,0,1 user reviews,0,1,1
22520,0,1 user reviews,0,1,1
22521,0,1 user reviews,1,0,1
22600,8,Very Positive,1043,223,1266
22610,6,Mostly Positive,241,82,323
22630,0,5 user reviews,4,1,5
22631,0,6 user reviews,4,2,6
22632,0,6 user reviews,5,1,6
22633,0,5 user reviews,4,1,5
22634,0,4 user reviews,4,0,4
22650,6,Mostly Positive,80,30,110
22670,5,Mixed,74,33,107
22803,0,1 user reviews,1,0,1
22813,0,1 user reviews,1,0,1
22815,0,1 user reviews,1,0,1
22821,0,1 user reviews,1,0,1
22845,0,1 user reviews,1,0,1
23100,0,3 user reviews,2,1,3
23120,8,Very Positive,68,14,82
23130,0,3 user reviews,3,0,3
23140,7,Positive,14,1,15
23150,6,Mostly Positive,7,3,10
23200,5,Mixed,36,20,56
23300,6,Mostly Positive,31,10,41
23310,6,Mostly Positive,1268,333,1601
23380,5,Mixed,70,41,111
23390,0,9 user reviews,8,1,9
23400,8,Very Positive,81,20,101
23420,5,Mixed,77,45,122
23450,6,Mostly Positive,204,72,276
23460,6,Mostly Positive,54,15,69
23490,8,Very Positive,329,37,366
23500,5,Mixed,89,115,204
23510,0,4 user reviews,4,0,4
23530,8,Very Positive,457,60,517
23600,8,Very Positive,48,10,58
23700,5,Mixed,45,27,72
24010,5,Mixed,4800,2337,7137
24012,4,Mostly Negative,5,10,15
24021,8,Very Positive,45,6,51
24028,0,4 user reviews,1,3,4
24029,6,Mostly Positive,9,3,12
24036,5,Mixed,8,9,17
24055,5,Mixed,7,4,11
24065,5,Mixed,11,16,27
24070,0,4 user reviews,3,1,4
